origin,destination,distance
21,40,1063.02
21,41,3185.37
21,42,772.35
21,44,1257.38
21,45,572.76
21,46,1335.05
21,47,243.98
21,48,1348.77
21,49,2313.53
21,50,1254.41
21,51,658.75
21,53,3129.33
21,54,415.49
21,55,727.96
21,56,1916.66
21,72,2849.72
22,1,515.61
22,2,5340.91
22,4,1945.57
22,5,514.45
22,6,2644.45
22,8,1586.41
22,9,2052.39
22,10,1737.4
22,11,1603.98
22,12,1006.48
22,13,776.38
22,15,6605.23
22,16,2567.27
22,17,1214.07
22,18,1152.95
22,19,1259.04
22,20,977.1
22,21,978.62
22,23,2428.18
22,24,1632.56
22,25,2205.44
22,26,1499.87
22,27,1623.63
22,28,276.5
22,29,864.06
22,30,2469.58
22,31,1274.86
22,32,2381.32
22,33,2247.24
22,34,1881.25
22,35,1457.41
22,36,1929.35
22,37,1223.9
22,38,1974.23
22,39,1337.68
22,40,741.51
22,41,3126.99
22,42,1699.89
22,44,2170.52
22,45,1051.88
22,46,1617.95
22,47,744.43
22,48,560.21
22,49,2137.63
22,50,2214.51
22,51,1489.0
22,53,3166.59
22,54,1337.77
22,55,1466.1
22,56,1917.76
22,72,2885.94
23,1,1929.73
23,2,5274.41
23,4,3801.88
23,5,2198.31
23,6,4279.13
23,8,2957.97
23,9,399.84
23,10,728.97
23,11,847.85
23,12,2112.85
23,13,1716.03
23,15,8222.03
23,16,3577.66
23,17,1551.73
23,18,1431.91
23,19,1902.75
23,20,2305.56
23,21,1481.3
23,22,2428.18
23,24,816.93
23,25,256.46
23,26,1174.27
23,27,1877.78
23,28,2152.91
23,29,1979.35
23,30,3215.4
23,31,2261.17
23,32,3947.97
23,33,184.42
23,34,573.09
23,35,3291.06
23,36,501.74
23,37,1286.61
23,38,2314.16
23,39,1152.11
23,40,2490.52
23,41,4117.87
23,42,728.98
23,44,311.45
23,45,1494.07
23,46,2317.72
23,47,1691.3
23,48,2829.39
23,49,3459.96
23,50,244.92
23,51,979.54
23,53,3965.03
23,54,1090.79
23,55,1540.58
23,56,2985.66
23,72,2910.11
24,1,1123.89
24,2,5353.66
24,4,3193.15
24,5,1475.59
24,6,3754.18
24,8,2433.99
24,9,423.84
24,10,110.37
24,11,31.16
24,12,1334.71
24,13,900.0
24,15,7775.59
24,16,3214.13
24,17,1011.97
24,18,817.35
24,19,1406.1
24,20,1699.07
24,21,750.82
24,22,1632.56
24,23,816.93
24,25,577.39
24,26,747.8
24,27,1534.1
24,28,1361.65
24,29,1339.83
24,30,2911.29
24,31,1747.98
24,32,3431.15
24,33,632.52
24,34,249.71
24,35,2665.34
24,36,320.62
24,37,474.34
24,38,2040.58
24,39,532.75
24,40,1812.9
24,41,3791.12
24,42,146.14
24,44,538.87
24,45,681.48
24,46,1913.29
24,47,918.63
24,48,2076.75
24,49,2990.9
24,50,644.1
24,51,165.99
24,53,3694.06
24,54,336.6
24,55,1139.72
24,56,2555.76
24,72,2531.4
25,1,1699.99
25,2,5364.88
25,4,3661.78
25,5,2008.15
25,6,4171.01
25,8,2844.18
25,9,153.62
25,10,481.76
25,11,607.54
25,12,1856.89
25,13,1476.55
25,15,8149.97
25,16,3521.67
25,17,1414.48
25,18,1268.51
25,19,1786.65
25,20,2158.34
25,21,1282.04
25,22,2205.44
25,23,256.46
25,24,577.39
25,26,1055.54
25,27,1809.64
25,28,1932.27
25,29,1817.51
25,30,3176.51
25,31,2144.9
25,32,3841.59
25,33,97.84
25,34,328.18
25,35,3142.83
25,36,283.03
25,37,1039.23
25,38,2275.85
